scene0000_00: Seed: 42, Selected_ID: 16, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_68
scene0008_00: Seed: 42, Selected_ID: 27, accepted after 5 times, dx, dy=(-0.2910121566624616, 0.42618898851267534), eric_0_85
scene0009_00: Seed: 42, Selected_ID: 6, accepted after 4 times, dx, dy=(-2.2622534799933662, 2.496133010840729), eric_30_75
scene0009_01: Seed: 42, Selected_ID: 1, accepted after 1 times, dx, dy=(-0.8162441211344301, 3.0338278554967366), eric_0_49
scene0009_02: Seed: 42, Selected_ID: 26, accepted after 4 times, dx, dy=(-1.424682774290241, 2.409598162074619), eric_20_70
scene0010_00: Seed: 42, Selected_ID: 34, accepted after 11 times, dx, dy=(0.6326286430510354, -1.4575608347559175), eric_20_35
scene0010_01: Seed: 42, Selected_ID: 14, accepted after 1 times, dx, dy=(-0.4631129223499618, 1.8996958370066441), eric_0_31
scene0011_00: Seed: 42, Selected_ID: 10, accepted after 1 times, dx, dy=(-1.3348639215967277, 2.8727150419393213), eric_30_72
scene0011_01: Seed: 42, Selected_ID: 13, accepted after 1 times, dx, dy=(-1.2075274283265776, 2.710972143756704), eric_5_29
failed
failed
failed
scene0013_00: Seed: 42, Selected_ID: 1, accepted after 1 times, dx, dy=(-0.36022390685898753, 2.2685439381034853), eric_15_79
scene0013_01: Seed: 42, Selected_ID: 3, accepted after 3 times, dx, dy=(-1.1949732604939114, -1.4585135089212637), eric_15_47
scene0013_02: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-1.8364791403597422, -1.513299427852825), eric_10_95
NO SUIT ERIC! Using default
scene0014_00: Seed: 42, Selected_ID: 15, accepted after 10000 times, dx, dy=(-0.21684041120119624, -0.28330271518069977), eric_0_92
scene0015_00: Seed: 42, Selected_ID: 37, accepted after 10 times, dx, dy=(-0.5301279230695971, -1.9091131845224607), eric_25_37
scene0016_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_89
scene0016_01: Seed: 42, Selected_ID: 8, accepted after 10 times, dx, dy=(-0.7029562808770989, -0.461246336694699), eric_5_86
scene0016_02: Seed: 42, Selected_ID: 30, accepted after 6 times, dx, dy=(-2.136853957469786, 2.058434102358084), eric_0_47
scene0017_00: Seed: 42, Selected_ID: 20, accepted after 1 times, dx, dy=(-0.7104711234162476, 2.813184560191813), eric_25_20
scene0017_01: Seed: 42, Selected_ID: 19, accepted after 3 times, dx, dy=(-0.4113942326756607, -1.6925277395044442), eric_0_87
scene0017_02: Seed: 42, Selected_ID: 9, accepted after 10 times, dx, dy=(0.19448805379783207, -1.9464508535995648), eric_20_35
scene0018_00: Seed: 42, Selected_ID: 16, accepted after 10 times, dx, dy=(-0.27254828399688513, 0.2647889022104604), eric_0_39
scene0019_00: Seed: 42, Selected_ID: 10, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_99
scene0019_01: Seed: 42, Selected_ID: 9, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_83
scene0020_00: Seed: 42, Selected_ID: 2, accepted after 186 times, dx, dy=(-0.8813791774287527, -1.7993057714586205), eric_10_78
scene0020_01: Seed: 42, Selected_ID: 33, accepted after 467 times, dx, dy=(1.6509218535592485, 0.07860381222510256), eric_15_27
scene0021_00: Seed: 42, Selected_ID: 6, accepted after 1 times, dx, dy=(-0.2447536697104956, 2.3802908094992445), eric_25_64
scene0022_00: Seed: 42, Selected_ID: 10, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_88
scene0022_01: Seed: 42, Selected_ID: 15, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_57
scene0023_00: Seed: 42, Selected_ID: 6, accepted after 3 times, dx, dy=(-1.2446869970077135, -2.9320778080832324), eric_25_98
scene0024_00: Seed: 42, Selected_ID: 22, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_93
scene0024_01: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30_43
scene0024_02: Seed: 42, Selected_ID: 36, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_27
scene0025_00: Seed: 42, Selected_ID: 31, accepted after 13 times, dx, dy=(-0.019973685309388922, 1.1598701067909138), eric_15_91
scene0025_01: Seed: 42, Selected_ID: 30, accepted after 1 times, dx, dy=(-0.23584328622072348, 1.7231178242786045), eric_10_52
scene0025_02: Seed: 42, Selected_ID: 24, accepted after 5 times, dx, dy=(0.22862470625508047, 0.9911617655020247), eric_10_38
scene0026_00: Seed: 42, Selected_ID: 11, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30_53
scene0027_00: Seed: 42, Selected_ID: 19, accepted after 1 times, dx, dy=(-0.3847171641024315, 2.7582101621590343), eric_5_66
scene0027_01: Seed: 42, Selected_ID: 9, accepted after 4 times, dx, dy=(-1.4743840630093796, 2.094826069814778), eric_-15_84
scene0027_02: Seed: 42, Selected_ID: 9, accepted after 1 times, dx, dy=(-0.04424012204314287, 2.503968201801593), eric_5_90
scene0028_00: Seed: 42, Selected_ID: 22, accepted after 5 times, dx, dy=(0.5529066774200481, 1.339601372207308), eric_20_58
failed
failed
failed
scene0030_00: Seed: 42, Selected_ID: 80, accepted after 4 times, dx, dy=(-1.7458596019869588, 1.91707359273289), eric_-5_61
scene0030_01: Seed: 42, Selected_ID: 39, accepted after 4 times, dx, dy=(-1.5745057347396907, 2.176176283804121), eric_10_14
scene0030_02: Seed: 42, Selected_ID: 13, accepted after 4 times, dx, dy=(-1.7004829389794094, 1.8589383128630128), eric_30_4
scene0031_00: Seed: 42, Selected_ID: 3, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20_39
scene0031_01: Seed: 42, Selected_ID: 15, accepted after 1 times, dx, dy=(-1.4800786882221293, 2.6958528764059078), eric_15_18
scene0031_02: Seed: 42, Selected_ID: 11, accepted after 10 times, dx, dy=(0.44021010920810644, -0.8522975500912521), eric_30_96
scene0032_00: Seed: 42, Selected_ID: 1, accepted after 7 times, dx, dy=(1.05490044844771, -0.8585365963619241), eric_10_32
scene0032_01: Seed: 42, Selected_ID: 8, accepted after 3 times, dx, dy=(-0.7048404128888042, -0.8968487617108013), eric_0_45
scene0033_00: Seed: 42, Selected_ID: 6, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_75
scene0034_00: Seed: 42, Selected_ID: 33, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_89
scene0034_01: Seed: 42, Selected_ID: 35, accepted after 28 times, dx, dy=(0.21553099572512824, 0.859832700470735), eric_20_66
scene0034_02: Seed: 42, Selected_ID: 32, accepted after 10 times, dx, dy=(-0.029948301572638836, -0.7762191738134389), eric_-5_57
scene0035_00: Seed: 42, Selected_ID: 8, accepted after 49 times, dx, dy=(0.7054297144550422, -0.12399640868850163), eric_30_0
scene0035_01: Seed: 42, Selected_ID: 4, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_24
scene0036_00: Seed: 42, Selected_ID: 19, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_73
scene0036_01: Seed: 42, Selected_ID: 10, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_0
scene0037_00: Seed: 42, Selected_ID: 24, accepted after 3 times, dx, dy=(-2.7213250145468924, -1.8097646787501185), eric_20_0
scene0038_00: Seed: 42, Selected_ID: 13, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_89
scene0038_01: Seed: 42, Selected_ID: 23, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20_64
scene0038_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_52
scene0039_00: Seed: 42, Selected_ID: 16, accepted after 5 times, dx, dy=(0.2156599515672456, 0.4752651091821936), eric_25_11
scene0039_01: Seed: 42, Selected_ID: 5, accepted after 21 times, dx, dy=(-1.010441827938418, -0.37702935833570445), eric_30_56
scene0040_00: Seed: 42, Selected_ID: 46, accepted after 7 times, dx, dy=(0.8196040775936634, -1.256279605084976), eric_10_3
scene0040_01: Seed: 42, Selected_ID: 11, accepted after 7 times, dx, dy=(0.9887716146814037, -1.2803730316390072), eric_5_33
scene0041_00: Seed: 42, Selected_ID: 29, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_12
NO SUIT ERIC! Using default
scene0041_01: Seed: 42, Selected_ID: 1, accepted after 10000 times, dx, dy=(0.0, 0.0), eric_0_50
scene0042_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_17
scene0042_01: Seed: 42, Selected_ID: 14, accepted after 7 times, dx, dy=(0.6420616561724891, -1.2710896146140265), eric_5_19
scene0042_02: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(0.5385988729761685, -1.0842622017743644), eric_30_51
scene0043_00: Seed: 42, Selected_ID: 6, accepted after 1 times, dx, dy=(-0.3847695082989605, 3.3312851059715807), eric_15_75
scene0043_01: Seed: 42, Selected_ID: 16, accepted after 4 times, dx, dy=(-1.7464972738457831, 1.1611313458540418), eric_5_43
scene0044_00: Seed: 42, Selected_ID: 1, accepted after 9 times, dx, dy=(-0.4473408657564182, -0.7745282692385346), eric_20_99
NO SUIT ERIC! Using default
scene0044_01: Seed: 42, Selected_ID: 12, accepted after 10000 times, dx, dy=(0.350524851582813, -1.089512159058653), eric_0_70
failed
scene0045_00: Seed: 42, Selected_ID: 6, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_27
scene0045_01: Seed: 42, Selected_ID: 9, accepted after 1 times, dx, dy=(-0.6624277557414003, 2.644445942723642), eric_10_93
scene0046_00: Seed: 42, Selected_ID: 20, accepted after 50 times, dx, dy=(-0.811687240415101, -1.4094625015324374), eric_30_1
scene0046_01: Seed: 42, Selected_ID: 37, accepted after 29 times, dx, dy=(-0.6609521156866419, -1.2124073524124073), eric_30_68
scene0046_02: Seed: 42, Selected_ID: 50, accepted after 29 times, dx, dy=(-0.727011135548473, -1.1277856310591137), eric_0_53
scene0047_00: Seed: 42, Selected_ID: 4, accepted after 10 times, dx, dy=(-0.22156966934372602, -1.2622215881871928), eric_15_39
scene0048_00: Seed: 42, Selected_ID: 10, accepted after 1 times, dx, dy=(0.8606085827656632, 1.7484921820580743), eric_15_16
scene0048_01: Seed: 42, Selected_ID: 20, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_28
scene0049_00: Seed: 42, Selected_ID: 19, accepted after 1 times, dx, dy=(-0.4461955234138977, 1.5215763087783023), eric_10_85
scene0050_00: Seed: 42, Selected_ID: 9, accepted after 7 times, dx, dy=(0.8527126160346786, -1.3459247290115648), eric_5_60
scene0050_01: Seed: 42, Selected_ID: 11, accepted after 3 times, dx, dy=(-1.1441764896317448, -1.0853883116202327), eric_25_49
scene0050_02: Seed: 42, Selected_ID: 31, accepted after 7 times, dx, dy=(0.8340103191451255, -1.01984051074925), eric_30_96
scene0051_00: Seed: 42, Selected_ID: 46, accepted after 18 times, dx, dy=(1.714420956440101, 2.2371679297204587), eric_10_21
scene0051_01: Seed: 42, Selected_ID: 20, accepted after 4 times, dx, dy=(-2.7986105318574896, 1.3831714489522817), eric_20_14
scene0051_02: Seed: 42, Selected_ID: 20, accepted after 2 times, dx, dy=(0.448884252080059, 0.15976496065404416), eric_10_49
scene0051_03: Seed: 42, Selected_ID: 42, accepted after 2 times, dx, dy=(0.45013807217030777, 0.1078208725951842), eric_10_11
scene0052_00: Seed: 42, Selected_ID: 13, accepted after 1 times, dx, dy=(-0.147109238832709, 1.4547802980123985), eric_30_8
scene0052_01: Seed: 42, Selected_ID: 15, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_60
scene0052_02: Seed: 42, Selected_ID: 8, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_81
scene0053_00: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(1.2605440562772166, -0.14194966336817955), eric_15_55
scene0054_00: Seed: 42, Selected_ID: 81, accepted after 1 times, dx, dy=(-0.35038257887910096, 3.4231000157366993), eric_10_96
scene0055_00: Seed: 42, Selected_ID: 13, accepted after 1 times, dx, dy=(-0.39418578600931775, 1.1202794661885582), eric_5_91
scene0055_01: Seed: 42, Selected_ID: 14, accepted after 1 times, dx, dy=(-0.3837532079966913, 1.058355047562537), eric_0_63
failed
scene0056_00: Seed: 42, Selected_ID: 17, accepted after 5 times, dx, dy=(0.311619813874373, 1.1516733124454175), eric_15_93
scene0056_01: Seed: 42, Selected_ID: 18, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_60
failed
scene0057_01: Seed: 42, Selected_ID: 18, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_94
scene0058_00: Seed: 42, Selected_ID: 11, accepted after 13 times, dx, dy=(-0.1558902614938199, 1.6065951199346398), eric_20_58
scene0058_01: Seed: 42, Selected_ID: 21, accepted after 5 times, dx, dy=(0.054817391340623245, 1.1788489809457257), eric_20_42
scene0059_00: Seed: 42, Selected_ID: 18, accepted after 13 times, dx, dy=(-0.1300716653032329, 1.554408823584707), eric_25_57
scene0059_01: Seed: 42, Selected_ID: 39, accepted after 11 times, dx, dy=(0.4022730719423232, -1.940438886551689), eric_15_10
scene0059_02: Seed: 42, Selected_ID: 10, accepted after 6 times, dx, dy=(-1.6898309824280089, 1.939935222315593), eric_20_48
scene0060_00: Seed: 42, Selected_ID: 21, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_56
scene0060_01: Seed: 42, Selected_ID: 6, accepted after 3 times, dx, dy=(-1.889405622613431, -2.052039160122974), eric_25_17
scene0061_00: Seed: 42, Selected_ID: 17, accepted after 4 times, dx, dy=(-2.2690546135798986, 2.7643159056570457), eric_10_93
scene0061_01: Seed: 42, Selected_ID: 2, accepted after 3 times, dx, dy=(-1.0597270010766398, -2.161795294572154), eric_5_91
scene0062_00: Seed: 42, Selected_ID: 9, accepted after 2 times, dx, dy=(0.11844496879394018, 0.1355250338390877), eric_30_14
scene0062_01: Seed: 42, Selected_ID: 5, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_76
scene0062_02: Seed: 42, Selected_ID: 17, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30_24
scene0063_00: Seed: 42, Selected_ID: 11, accepted after 6 times, dx, dy=(-2.3720851203529936, 1.549377837823237), eric_10_25
scene0064_00: Seed: 42, Selected_ID: 31, accepted after 1 times, dx, dy=(-1.2625435386612862, 2.7474578279585926), eric_0_98
scene0064_01: Seed: 42, Selected_ID: 53, accepted after 1 times, dx, dy=(-1.1038248792059857, 2.3555919466622854), eric_15_28
scene0065_00: Seed: 42, Selected_ID: 10, accepted after 1 times, dx, dy=(-0.47457853635312874, 1.9590134083046757), eric_15_3
scene0065_01: Seed: 42, Selected_ID: 14, accepted after 2 times, dx, dy=(0.8870372019377942, -0.6790000785716356), eric_30_68
scene0065_02: Seed: 42, Selected_ID: 11, accepted after 2 times, dx, dy=(0.68082610324802, -0.48262508915447117), eric_30_6
scene0066_00: Seed: 42, Selected_ID: 34, accepted after 1 times, dx, dy=(-0.5926868265058053, 3.1585625586137636), eric_5_27
scene0067_00: Seed: 42, Selected_ID: 11, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_89
scene0067_01: Seed: 42, Selected_ID: 1, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20_81
scene0067_02: Seed: 42, Selected_ID: 16, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30_20
scene0068_00: Seed: 42, Selected_ID: 35, accepted after 15 times, dx, dy=(-0.488245237581718, -0.35714476593278494), eric_-15_72
scene0068_01: Seed: 42, Selected_ID: 23, accepted after 2 times, dx, dy=(-0.3635162764982447, 0.039176204777059034), eric_15_12
NO SUIT ERIC! Using default
scene0069_00: Seed: 42, Selected_ID: 10, accepted after 10000 times, dx, dy=(-1.0533730729782365, 2.220074988080976), eric_0_79
scene0070_00: Seed: 42, Selected_ID: 3, accepted after 3 times, dx, dy=(-0.35756864223712825, -1.4609712676243454), eric_-10_20
scene0071_00: Seed: 42, Selected_ID: 3, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_51
failed
scene0072_01: Seed: 42, Selected_ID: 12, accepted after 3 times, dx, dy=(-0.14717614719748828, -1.233948202594576), eric_-15_27
failed
scene0073_00: Seed: 42, Selected_ID: 18, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20_95
scene0073_01: Seed: 42, Selected_ID: 2, accepted after 10 times, dx, dy=(-0.18071557785408265, -0.699462159377825), eric_5_9
scene0073_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20_59
scene0073_03: Seed: 42, Selected_ID: 24, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_94
failed
failed
failed
scene0075_00: Seed: 42, Selected_ID: 3, accepted after 20 times, dx, dy=(0.8964586222626204, -0.23589249472404628), eric_25_14
scene0076_00: Seed: 42, Selected_ID: 22, accepted after 4 times, dx, dy=(-2.0390573432492394, 2.1933915284439087), eric_5_5
scene0077_00: Seed: 42, Selected_ID: 7, accepted after 10 times, dx, dy=(0.2677842084895524, -1.2161885576992764), eric_15_77
scene0077_01: Seed: 42, Selected_ID: 13, accepted after 18 times, dx, dy=(0.6926967341315103, 1.5144358746523443), eric_25_21
scene0078_00: Seed: 42, Selected_ID: 2, accepted after 8 times, dx, dy=(-1.1609545707251048, -0.4389530792265432), eric_5_43
scene0078_01: Seed: 42, Selected_ID: 16, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30_14
scene0078_02: Seed: 42, Selected_ID: 1, accepted after 3 times, dx, dy=(-1.0761716410142865, -0.6349236192979424), eric_10_77
scene0079_00: Seed: 42, Selected_ID: 9, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_63
scene0079_01: Seed: 42, Selected_ID: 10, accepted after 1 times, dx, dy=(-0.5626141568986812, 4.7902531718336565), eric_20_69
scene0080_00: Seed: 42, Selected_ID: 5, accepted after 15 times, dx, dy=(0.11409929761817372, -0.7650558608236105), eric_20_55
scene0080_01: Seed: 42, Selected_ID: 20, accepted after 2 times, dx, dy=(0.17693199731896447, -0.40597962278036576), eric_30_22
scene0080_02: Seed: 42, Selected_ID: 5, accepted after 1 times, dx, dy=(-0.10486507231091274, 0.8273630053235472), eric_5_62
scene0081_00: Seed: 42, Selected_ID: 6, accepted after 4 times, dx, dy=(-1.9615149956933213, 1.8920636596971485), eric_15_83
scene0081_01: Seed: 42, Selected_ID: 10, accepted after 13 times, dx, dy=(0.046162666794089424, 2.3686242182590402), eric_10_32
scene0081_02: Seed: 42, Selected_ID: 1, accepted after 1 times, dx, dy=(-1.1864564932336688, 3.6844285021835703), eric_5_39
scene0082_00: Seed: 42, Selected_ID: 9, accepted after 1 times, dx, dy=(-0.5291575859743473, 3.1465195214989463), eric_10_21
failed
failed
scene0084_00: Seed: 42, Selected_ID: 29, accepted after 1 times, dx, dy=(-0.5972698136165749, 1.1232661890963522), eric_30_34
scene0084_01: Seed: 42, Selected_ID: 14, accepted after 1 times, dx, dy=(-0.6097019884551139, 1.3938244841521745), eric_15_99
scene0084_02: Seed: 42, Selected_ID: 38, accepted after 1 times, dx, dy=(-0.26772153716397507, 1.3546426878175977), eric_10_6
scene0085_00: Seed: 42, Selected_ID: 36, accepted after 2 times, dx, dy=(0.8981809331549558, 0.4346496732241543), eric_5_86
scene0085_01: Seed: 42, Selected_ID: 5, accepted after 1 times, dx, dy=(-0.5539112262993208, 2.3380996086395824), eric_25_14
scene0086_00: Seed: 42, Selected_ID: 6, accepted after 1 times, dx, dy=(0.16822012388045238, 1.9100965443311868), eric_0_50
scene0086_01: Seed: 42, Selected_ID: 5, accepted after 1 times, dx, dy=(0.17335128602229377, 1.817600385155692), eric_5_82
scene0086_02: Seed: 42, Selected_ID: 6, accepted after 1 times, dx, dy=(0.1465119163212013, 1.8222596967383151), eric_5_37
scene0087_00: Seed: 42, Selected_ID: 13, accepted after 3 times, dx, dy=(-1.0030522360192315, -1.713099058007438), eric_20_41
scene0087_01: Seed: 42, Selected_ID: 15, accepted after 2 times, dx, dy=(1.036384484895767, 0.02701744019236181), eric_15_73
scene0087_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_17
scene0088_00: Seed: 42, Selected_ID: 1, accepted after 19 times, dx, dy=(-0.9247847129633872, -1.5804020151774671), eric_30_70
scene0088_01: Seed: 42, Selected_ID: 15, accepted after 7 times, dx, dy=(1.6933410298900076, -1.8675073769203132), eric_15_27
scene0088_02: Seed: 42, Selected_ID: 12, accepted after 4 times, dx, dy=(-2.5155815063570452, 2.1584615980049517), eric_5_91
scene0088_03: Seed: 42, Selected_ID: 23, accepted after 3 times, dx, dy=(-1.6518679771784677, -1.4493781891376956), eric_5_54
scene0089_00: Seed: 42, Selected_ID: 1, accepted after 2 times, dx, dy=(0.36451825029001317, 0.37193319432483923), eric_20_3
scene0089_01: Seed: 42, Selected_ID: 17, accepted after 2 times, dx, dy=(0.44695540583112947, 0.6302551796472536), eric_5_65
scene0089_02: Seed: 42, Selected_ID: 15, accepted after 2 times, dx, dy=(0.36598723197308025, 0.5061466446905004), eric_15_56
scene0090_00: Seed: 42, Selected_ID: 8, accepted after 1 times, dx, dy=(0.1921202286768079, 1.2872347483232476), eric_10_32
scene0091_00: Seed: 42, Selected_ID: 2, accepted after 1 times, dx, dy=(-0.14389646921949661, 1.9088501172279562), eric_15_64
scene0092_00: Seed: 42, Selected_ID: 6, accepted after 12 times, dx, dy=(-0.5257449213233801, -1.2633460686022135), eric_30_29
scene0092_01: Seed: 42, Selected_ID: 34, accepted after 10 times, dx, dy=(-0.10456707916618535, -1.528805331353715), eric_25_4
scene0092_02: Seed: 42, Selected_ID: 5, accepted after 12 times, dx, dy=(-0.5641942750117497, -1.1454671719685707), eric_15_12
scene0092_03: Seed: 42, Selected_ID: 85, accepted after 7 times, dx, dy=(1.1823116524263715, -2.687007242096733), eric_30_77
scene0092_04: Seed: 42, Selected_ID: 49, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30_46
scene0093_00: Seed: 42, Selected_ID: 13, accepted after 7 times, dx, dy=(1.0081134365815458, -1.3388896089398188), eric_0_17
scene0093_01: Seed: 42, Selected_ID: 2, accepted after 15 times, dx, dy=(0.29178481250564026, -1.7288582140328135), eric_15_52
scene0093_02: Seed: 42, Selected_ID: 11, accepted after 15 times, dx, dy=(0.15305152149450196, -1.8040917731703334), eric_5_37
scene0094_00: Seed: 42, Selected_ID: 18, accepted after 8 times, dx, dy=(-0.33066453845854626, -1.5443509710978838), eric_30_44
scene0095_00: Seed: 42, Selected_ID: 33, accepted after 4 times, dx, dy=(-1.1276236027931898, 3.030718878023768), eric_10_43
scene0095_01: Seed: 42, Selected_ID: 25, accepted after 1 times, dx, dy=(-0.4788792135865002, 2.795361072492787), eric_15_67
failed
scene0096_01: Seed: 42, Selected_ID: 25, accepted after 3 times, dx, dy=(-0.6806764831300051, -0.8144042783138135), eric_25_71
scene0096_02: Seed: 42, Selected_ID: 21, accepted after 1 times, dx, dy=(-0.4173579524445553, 1.1109203308229219), eric_10_54
scene0097_00: Seed: 42, Selected_ID: 5, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20_63
failed
scene0098_01: Seed: 42, Selected_ID: 43, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_21
scene0099_00: Seed: 42, Selected_ID: 9, accepted after 1 times, dx, dy=(-0.2989139881536963, 0.6735669225217608), eric_20_23
scene0099_01: Seed: 42, Selected_ID: 2, accepted after 1 times, dx, dy=(-0.12250383406428067, 0.9391320029048081), eric_15_78
scene0100_00: Seed: 42, Selected_ID: 23, accepted after 1 times, dx, dy=(-0.3002168699712241, 0.035444348316087185), eric_20_30
failed
failed
scene0101_00: Seed: 42, Selected_ID: 84, accepted after 2 times, dx, dy=(0.7309827621394062, 0.15252956476878526), eric_15_44
scene0101_01: Seed: 42, Selected_ID: 44, accepted after 5 times, dx, dy=(0.21464498856807246, 0.9082215100505276), eric_10_66
scene0101_02: Seed: 42, Selected_ID: 53, accepted after 2 times, dx, dy=(0.7383326893266776, 0.3525571172430049), eric_10_3
scene0101_03: Seed: 42, Selected_ID: 6, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_60
scene0101_04: Seed: 42, Selected_ID: 30, accepted after 48 times, dx, dy=(0.9529487477633912, -0.375748056596856), eric_30_96
scene0101_05: Seed: 42, Selected_ID: 52, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_78
scene0102_00: Seed: 42, Selected_ID: 30, accepted after 10 times, dx, dy=(-0.33939553377254417, -2.0210353886997177), eric_0_4
scene0102_01: Seed: 42, Selected_ID: 19, accepted after 5 times, dx, dy=(0.3306379118841768, 2.5080002872617495), eric_15_15
scene0103_00: Seed: 42, Selected_ID: 11, accepted after 7 times, dx, dy=(1.4870144950813051, -0.7173666706477732), eric_25_47
NO SUIT ERIC! Using default
scene0103_01: Seed: 42, Selected_ID: 1, accepted after 10000 times, dx, dy=(-1.6102462804881448, -0.3501753343433865), eric_0_28
scene0104_00: Seed: 42, Selected_ID: 23, accepted after 1 times, dx, dy=(-0.3142851250478852, 0.9485270868650008), eric_25_6
NO SUIT ERIC! Using default
scene0105_00: Seed: 42, Selected_ID: 5, accepted after 10000 times, dx, dy=(-0.6788235516548157, 0.7398634130892424), eric_0_63
NO SUIT ERIC! Using default
scene0105_01: Seed: 42, Selected_ID: 1, accepted after 10000 times, dx, dy=(-0.49667099415593546, 0.6844799105130024), eric_0_69
NO SUIT ERIC! Using default
scene0105_02: Seed: 42, Selected_ID: 15, accepted after 10000 times, dx, dy=(-0.4521891052456027, 0.6994519138837392), eric_0_70
