scene0000_00: Seed: 42, Selected_ID: 52, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0
scene0034_01: Seed: 42, Selected_ID: 39, accepted after 16 times, dx, dy=(0.42347323740563414, -0.3539145229314066), eric_10
scene0034_02: Seed: 42, Selected_ID: 39, accepted after 4 times, dx, dy=(0.04289245603530201, -0.6576180888039775), eric_-10
scene0035_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5
scene0035_01: Seed: 42, Selected_ID: 7, accepted after 19 times, dx, dy=(-1.2733723322588122, -0.46720651474310276), eric_20
scene0036_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
scene0036_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
scene0037_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.9944603206625118, -1.6756600426736854), eric_20
scene0038_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0038_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15
scene0038_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0039_00: Seed: 42, Selected_ID: 7, accepted after 42 times, dx, dy=(-1.025109330679813, -0.6346302354273358), eric_15
scene0039_01: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(1.0326768071029084, -2.078140324344496), eric_10
scene0040_00: Seed: 42, Selected_ID: 52, accepted after 13 times, dx, dy=(0.6502886443241972, -1.3116361633147158), eric_5
scene0040_01: Seed: 42, Selected_ID: 52, accepted after 13 times, dx, dy=(0.8182130248662628, -1.3350563710624321), eric_0
scene0041_00: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0041_01: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_-5
scene0042_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
scene0042_01: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.5697957850467893, -1.3505702085113584), eric_0
scene0042_02: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.46630626736267733, -1.1648831104579165), eric_30
scene0043_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.9881258618966123, -0.6133140969552779), eric_20
scene0043_01: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.5235666047052131, -2.2076247987050897), eric_25
scene0044_00: Seed: 42, Selected_ID: 7, accepted after 71 times, dx, dy=(-0.531799782760728, -0.5908475316183646), eric_5
NO SUIT ERIC! Using default scene0044_01: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(0.4367228857925871, -0.9902152575684028), eric_0
failed
scene0045_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0045_01: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(2.4661991251393003, -2.749826379644454), eric_10
scene0046_00: Seed: 42, Selected_ID: 39, accepted after 19 times, dx, dy=(-0.8241793121676918, -0.8645266761268312), eric_10
scene0046_01: Seed: 42, Selected_ID: 39, accepted after 263 times, dx, dy=(-0.6943812657930013, -1.898471147072436), eric_25
scene0046_02: Seed: 42, Selected_ID: 39, accepted after 19 times, dx, dy=(-0.8267830418126461, -0.977546810841127), eric_20
scene0047_00: Seed: 42, Selected_ID: 39, accepted after 7 times, dx, dy=(0.9666569233190975, -2.7320985865322975), eric_0
scene0048_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(2.7888533318808357, -1.156113614804125), eric_10
scene0048_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
scene0049_00: Seed: 42, Selected_ID: 29, accepted after 4 times, dx, dy=(-0.5436715163764961, -0.6594886809161861), eric_-15
scene0050_00: Seed: 42, Selected_ID: 29, accepted after 5 times, dx, dy=(0.3556654752427012, -1.784487473697647), eric_10
scene0050_01: Seed: 42, Selected_ID: 29, accepted after 12 times, dx, dy=(-0.9361108472637252, -1.2714551915283336), eric_15
scene0050_02: Seed: 42, Selected_ID: 29, accepted after 4 times, dx, dy=(-0.5374700931294811, -1.2114523832310835), eric_15
scene0051_00: Seed: 42, Selected_ID: 39, accepted after 5 times, dx, dy=(-1.5101988761874106, 1.4613250818360959), eric_-15
scene0051_01: Seed: 42, Selected_ID: 39, accepted after 5 times, dx, dy=(-2.3733330368581207, 0.34272124684149735), eric_10
scene0051_02: Seed: 42, Selected_ID: 39, accepted after 5 times, dx, dy=(-2.4833166186526, 0.361815339413415), eric_15
scene0051_03: Seed: 42, Selected_ID: 39, accepted after 5 times, dx, dy=(-2.4677201238297317, 0.31114198934402043), eric_5
scene0052_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0052_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0052_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0
scene0053_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.4336525783960576, -1.6955832728082576), eric_5
scene0054_00: Seed: 42, Selected_ID: 52, accepted after 2 times, dx, dy=(0.2960265249907167, -3.2952025738999384), eric_5
scene0055_00: Seed: 42, Selected_ID: 7, accepted after 14 times, dx, dy=(-0.3770866683837857, 1.199671263084001), eric_15
scene0055_01: Seed: 42, Selected_ID: 7, accepted after 5 times, dx, dy=(-0.8751166596232781, 0.3347866034331151), eric_25
failed
scene0056_00: Seed: 42, Selected_ID: 39, accepted after 7 times, dx, dy=(1.7489879073865127, -2.742624220655507), eric_10
scene0056_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
failed
scene0057_01: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.18571473982381048, -2.0796004806321293), eric_15
scene0058_00: Seed: 42, Selected_ID: 39, accepted after 6 times, dx, dy=(-1.2128020713514616, 1.3576755602139399), eric_15
scene0058_01: Seed: 42, Selected_ID: 29, accepted after 6 times, dx, dy=(0.37868094059155044, 2.1220590731135274), eric_30
scene0059_00: Seed: 42, Selected_ID: 39, accepted after 20 times, dx, dy=(-0.8701334179776873, 1.02200061002507), eric_30
scene0059_01: Seed: 42, Selected_ID: 39, accepted after 2 times, dx, dy=(0.9935719601761387, 0.1366832713934592), eric_25
scene0059_02: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(0.728713648072619, 0.3525897509913019), eric_20
scene0060_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_-5
scene0060_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0061_00: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(0.7635887695131601, 1.2606994955720798), eric_10
scene0061_01: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(2.1070594003806473, -2.939348509841549), eric_15
scene0062_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0062_01: Seed: 42, Selected_ID: 7, accepted after 5 times, dx, dy=(-0.47722462917949054, 0.043602118698231676), eric_30
scene0062_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
scene0063_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.071579050902359, -1.180981284011265), eric_15
scene0064_00: Seed: 42, Selected_ID: 39, accepted after 3 times, dx, dy=(-1.0767177774892587, -4.080096436878456), eric_0
scene0064_01: Seed: 42, Selected_ID: 52, accepted after 2 times, dx, dy=(-0.4646859495226626, -4.1546840979025115), eric_0
scene0065_00: Seed: 42, Selected_ID: 7, accepted after 4 times, dx, dy=(-0.3129208338572227, 0.37539874220792896), eric_30
scene0065_01: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(0.26682969077461394, -1.9133843291979273), eric_25
scene0065_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0066_00: Seed: 42, Selected_ID: 29, accepted after 4 times, dx, dy=(-0.8050838269864035, -0.9229212436446771), eric_5
scene0067_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0067_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
NO SUIT ERIC! Using default scene0067_02: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(0.9178182346912557, -0.12018062876324558), eric_0
scene0068_00: Seed: 42, Selected_ID: 39, accepted after 1 times, dx, dy=(-0.3024095235944382, -0.2012133916491235), eric_10
scene0068_01: Seed: 42, Selected_ID: 39, accepted after 2 times, dx, dy=(-0.32259050970598246, 0.03630634895900649), eric_20
NO SUIT ERIC! Using default scene0069_00: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-1.1828015057787686, 2.6447140870140977), eric_0
scene0070_00: Seed: 42, Selected_ID: 7, accepted after 10 times, dx, dy=(-0.5734985324172128, -0.27909570336265127), eric_-15
scene0071_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
failed
NO SUIT ERIC! Using default scene0072_01: Seed: 42, Selected_ID: 29, accepted after 10000 times, dx, dy=(0.10232408101179319, -1.5473357631596254), eric_0
failed
scene0073_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0
scene0073_01: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.15288675280916297, -1.1281731442938576), eric_25
scene0073_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0073_03: Seed: 42, Selected_ID: 7, accepted after 15 times, dx, dy=(-0.08822589275173665, 0.7583521889080796), eric_25
failed
failed
failed
scene0075_00: Seed: 42, Selected_ID: 7, accepted after 8 times, dx, dy=(1.955422702396925, -0.0781192235598414), eric_20
scene0076_00: Seed: 42, Selected_ID: 7, accepted after 5 times, dx, dy=(-1.715922218417532, 1.117571314415122), eric_15
scene0077_00: Seed: 42, Selected_ID: 7, accepted after 4 times, dx, dy=(0.32242535992267896, -1.0843300681282306), eric_20
scene0077_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
NO SUIT ERIC! Using default scene0078_00: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-0.930976431440255, -0.5267994173913478), eric_0
scene0078_01: Seed: 42, Selected_ID: 7, accepted after 4 times, dx, dy=(-0.35990825167375584, -0.09423245444262578), eric_30
scene0078_02: Seed: 42, Selected_ID: 7, accepted after 120 times, dx, dy=(-1.3614765828835482, 2.0535384425800363), eric_30
scene0079_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5
scene0079_01: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.5024543360651198, -3.617983433746177), eric_15
scene0080_00: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(0.4361890176450878, -0.8033111505903866), eric_0
scene0080_01: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.23845815297407502, -0.7682028246003132), eric_25
scene0080_02: Seed: 42, Selected_ID: 7, accepted after 5 times, dx, dy=(-0.3227625300478035, 0.5705216922572696), eric_25
scene0081_00: Seed: 42, Selected_ID: 7, accepted after 6 times, dx, dy=(-1.9655705175177478, 1.3340014903710526), eric_20
scene0081_01: Seed: 42, Selected_ID: 39, accepted after 7 times, dx, dy=(2.333376842198234, -4.556819740366513), eric_5
scene0081_02: Seed: 42, Selected_ID: 29, accepted after 3 times, dx, dy=(-2.451861781801871, -0.6257836351514477), eric_30
scene0082_00: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(0.9313219018612257, 0.8061394641682055), eric_15
failed
failed
scene0084_00: Seed: 42, Selected_ID: 39, accepted after 5 times, dx, dy=(-1.498011357154025, 0.6493482094598276), eric_15
scene0084_01: Seed: 42, Selected_ID: 39, accepted after 5 times, dx, dy=(-1.5161721422837773, 0.8937292780247986), eric_25
scene0084_02: Seed: 42, Selected_ID: 39, accepted after 8 times, dx, dy=(2.0581117729073566, 0.7950713052611803), eric_15
scene0085_00: Seed: 42, Selected_ID: 39, accepted after 2 times, dx, dy=(1.0342323783129155, 0.42676065559886195), eric_5
scene0085_01: Seed: 42, Selected_ID: 29, accepted after 1 times, dx, dy=(-1.092045672914534, 1.5839499338025946), eric_15
scene0086_00: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(0.8510376606517221, 0.35404626345881357), eric_15
scene0086_01: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(0.8523294415555761, 0.26906322449324255), eric_10
scene0086_02: Seed: 42, Selected_ID: 29, accepted after 1 times, dx, dy=(-0.18123261296538867, 1.0768155944842628), eric_15
scene0087_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.4496214667268639, -1.615172223526089), eric_15
scene0087_01: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.04417975206199498, -1.8857183425323572), eric_15
scene0087_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0088_00: Seed: 42, Selected_ID: 29, accepted after 1 times, dx, dy=(-1.4972601528424825, 1.6502053405960317), eric_15
scene0088_01: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.577629142510233, -2.0072428922894257), eric_10
scene0088_02: Seed: 42, Selected_ID: 39, accepted after 6 times, dx, dy=(-2.523375238338554, 1.4537178509574236), eric_10
scene0088_03: Seed: 42, Selected_ID: 7, accepted after 17 times, dx, dy=(-2.229750030433216, 2.3141545617789574), eric_10
scene0089_00: Seed: 42, Selected_ID: 7, accepted after 38 times, dx, dy=(0.32117672492710436, 0.8900780482236156), eric_30
scene0089_01: Seed: 42, Selected_ID: 7, accepted after 31 times, dx, dy=(0.48028077562519, 0.46769171876366783), eric_30
scene0089_02: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(0.4669886733324894, 0.5011630565582396), eric_15
scene0090_00: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(1.9579023919825005, 0.6612914034223679), eric_5
scene0091_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_-5
scene0092_00: Seed: 42, Selected_ID: 39, accepted after 4 times, dx, dy=(-0.06638157909929399, -1.40769058961832), eric_-10
scene0092_01: Seed: 42, Selected_ID: 39, accepted after 7 times, dx, dy=(1.3070243982464538, -2.8128908694151096), eric_30
scene0092_02: Seed: 42, Selected_ID: 39, accepted after 4 times, dx, dy=(-0.0988683851230906, -1.2888093993867078), eric_15
scene0092_03: Seed: 42, Selected_ID: 52, accepted after 235 times, dx, dy=(1.5488219922189619, -4.062286788990736), eric_30
scene0092_04: Seed: 42, Selected_ID: 52, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0093_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.9174736157583471, -1.4362266236989627), eric_15
scene0093_01: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.06953494794760895, -1.5697872573269078), eric_10
scene0093_02: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.219833296615482, -1.656079288820838), eric_30
scene0094_00: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(0.48558644927214967, -1.800940876536807), eric_25
scene0095_00: Seed: 42, Selected_ID: 39, accepted after 15 times, dx, dy=(0.021830039716634553, 2.987550656465985), eric_20
scene0095_01: Seed: 42, Selected_ID: 39, accepted after 14 times, dx, dy=(-0.45801561134732827, 2.9985865229275643), eric_0
failed
scene0096_01: Seed: 42, Selected_ID: 39, accepted after 1 times, dx, dy=(1.1279134408189755, -0.7480986622702072), eric_10
scene0096_02: Seed: 42, Selected_ID: 39, accepted after 6 times, dx, dy=(-1.3314633325004905, 0.5514786489673523), eric_10
NO SUIT ERIC! Using default scene0097_00: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(0.6507933458362086, -1.879807925753862), eric_0
failed
scene0098_01: Seed: 42, Selected_ID: 39, accepted after 14 times, dx, dy=(-0.07344670687473243, 2.0197073213299377), eric_20
scene0099_00: Seed: 42, Selected_ID: 7, accepted after 14 times, dx, dy=(-0.27972804473438095, 0.7619885407937236), eric_20
scene0099_01: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(0.8115867009193213, -0.15990835047157675), eric_30
scene0100_00: Seed: 42, Selected_ID: 7, accepted after 14 times, dx, dy=(-0.2886167916276474, 0.05726134711667037), eric_15
failed
failed
scene0101_00: Seed: 42, Selected_ID: 52, accepted after 13 times, dx, dy=(0.9191170042433606, -2.1226021669098265), eric_0
scene0101_01: Seed: 42, Selected_ID: 52, accepted after 13 times, dx, dy=(0.865752813012472, -1.9086194337165703), eric_20
scene0101_02: Seed: 42, Selected_ID: 52, accepted after 8 times, dx, dy=(-1.2299448826302743, -1.2969936750554631), eric_20
scene0101_03: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0101_04: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_-5
scene0101_05: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0102_00: Seed: 42, Selected_ID: 39, accepted after 7 times, dx, dy=(1.0669201893533695, -3.448166786038885), eric_20
scene0102_01: Seed: 42, Selected_ID: 29, accepted after 6 times, dx, dy=(0.6685347199556556, 3.63768265669098), eric_0
scene0103_00: Seed: 42, Selected_ID: 7, accepted after 4 times, dx, dy=(0.48422179104982754, -0.4609167026050233), eric_20
scene0103_01: Seed: 42, Selected_ID: 7, accepted after 5 times, dx, dy=(-1.3539246009138721, 0.3948486480255054), eric_10
scene0104_00: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5
NO SUIT ERIC! Using default scene0105_00: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-0.6788235516548157, 0.8285014061336596), eric_0
NO SUIT ERIC! Using default scene0105_01: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-0.46324854584502256, 0.48773054160887297), eric_0
NO SUIT ERIC! Using default scene0105_02: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-0.4809333705360633, 0.5705330878084981), eric_0
scene0106_00: Seed: 42, Selected_ID: 39, accepted after 3 times, dx, dy=(-0.34042856786428033, -3.6250082805114947), eric_10
scene0106_01: Seed: 42, Selected_ID: 39, accepted after 5 times, dx, dy=(-1.424431022919289, 1.9404252234399888), eric_0
scene0106_02: Seed: 42, Selected_ID: 7, accepted after 14 times, dx, dy=(-0.5406050031104511, 3.383707295559286), eric_0
scene0107_00: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(0.021389974294514613, -1.5538871138698307), eric_5
scene0108_00: Seed: 42, Selected_ID: 29, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0109_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0109_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5
